h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,coverage_bank,walkability_variance,accessibility_mean,population_weighted_accessibility
8860145101fffff,30.841954219568976,4.287879577778322,96,0.125,0.0,0.0,0.0,0.0,0.5,0.0,18.385911273528407,31.69403357343135,31.694033573431344
8860145103fffff,18.63883840082408,0.9246884475150087,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855048724967717,16.14669773155667,16.14669773155667
8860145105fffff,42.08726585269036,3.5387333282874156,74,0.5945945945945946,0.12162162162162163,0.0,0.0,0.0,0.40540540540540543,0.33783783783783783,12.522633568732129,44.25904325751508,44.25904325751509
8860145107fffff,42.773190573228625,6.699285750897675,138,0.6594202898550725,0.2391304347826087,0.0,0.3333333333333333,0.0,0.5579710144927537,0.14492753623188406,44.88042957218063,45.274306316858464,45.274306316858464
8860145109fffff,25.171182259761192,1.9162845040187684,121,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,3.6721463003424573,24.376665567138517,24.376665567138517
886014510bfffff,22.36023676992638,1.1534775818237204,147,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,1.3305105317698975,20.793884130319313,20.793884130319316
886014510dfffff,35.666990043368635,4.5590424670828815,116,0.9051724137931034,0.0,0.0,0.0,0.0,0.8189655172413793,0.0,20.784868216665167,37.66521021338081,37.66521021338081
8860145111fffff,19.34988970177828,2.4784650876397816,90,0.34444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,6.14278919064927,17.285868248490036,17.285868248490036
8860145113fffff,18.559468148136304,2.1101679537604467,111,0.2072072072072072,0.0,0.0,0.0,0.0,0.0,0.0,4.452808793077551,16.386599962032093,16.386599962032093
8860145115fffff,22.055538287953425,1.439631797437309,149,0.14093959731543623,0.0,0.0,0.0,0.0,0.0,0.0,2.072539712192577,20.543099005532532,20.543099005532536
8860145117fffff,26.123171394804654,1.5216867512959842,163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3155305690697268,25.586758245631696,25.586758245631696
8860145119fffff,16.18321073735043,0.5861822212315485,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34360959648795214,13.166406860914345,13.166406860914346
886014511bfffff,14.89860859029133,1.2702334720110733,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.613493073417306,11.793685990409287,11.793685990409287
886014511dfffff,19.303205659054978,1.2054984863625364,148,0.0,0.0,0.0,0.0,0.0,0.4391891891891892,0.0,1.4532266006223664,16.980032313706403,16.980032313706403
8860145121fffff,66.18131512224534,4.161631956399719,201,0.7960199004975125,1.0,0.0,1.0,0.2935323383084577,0.9900497512437811,0.7164179104477612,17.319180540527352,68.55514660939832,68.55514660939832
8860145123fffff,54.03024479157332,5.086159138071497,218,0.8302752293577982,0.8073394495412844,0.0,0.6926605504587156,0.0,0.9495412844036697,0.10550458715596331,25.869014777788188,56.11492376640449,56.11492376640449
8860145125fffff,67.68828794042322,5.6521503737957,257,1.0,1.0,0.0,0.9922178988326849,0.0,0.9961089494163424,0.8832684824902723,31.94680384799887,70.10390597948279,70.10390597948279
8860145127fffff,60.78732680785786,4.590497022979353,267,0.6404494382022472,1.0,0.0,0.6629213483146067,0.0,0.8352059925093633,0.9737827715355806,21.072662917982296,62.72216926743216,62.72216926743217
8860145129fffff,53.68525246456248,6.222730055414836,262,0.17557251908396945,0.8053435114503816,0.0,0.21755725190839695,0.5687022900763359,0.4083969465648855,0.7442748091603053,38.72236934256312,55.849154622991335,55.849154622991335
886014512bfffff,57.172466030886405,4.725342265525482,204,0.9166666666666666,0.9852941176470589,0.0,0.8137254901960784,0.0,0.3431372549019608,0.6127450980392157,22.328859526361498,59.559647065208985,59.55964706520897
886014512dfffff,62.90491607344038,4.741098666601061,174,0.9885057471264368,1.0,0.0,0.7586206896551724,0.10919540229885058,0.9942528735632183,0.4942528735632184,22.478016566446357,65.14855952673653,65.14855952673653
8860145131fffff,49.655731055927724,3.252549434817311,61,0.5737704918032787,0.4426229508196721,0.0,0.06557377049180328,0.0,0.0,0.7704918032786885,10.57907782593041,51.45837705083119,51.45837705083119
8860145133fffff,44.517937900632965,5.111613589628364,193,1.0,0.09844559585492228,0.05181347150259067,0.0,0.010362694300518135,0.0,0.10880829015544041,26.128593489673367,46.33164718028649,46.33164718028649
8860145135fffff,42.23884390159259,2.403218851357869,57,0.0,0.6666666666666666,0.0,0.0,0.0,0.49122807017543857,0.0,5.775460847521836,43.68492679259415,43.68492679259414
8860145137fffff,47.37791949847054,5.464268238421585,88,0.8409090909090909,0.23863636363636365,0.011363636363636364,0.0,0.011363636363636364,0.6590909090909091,0.011363636363636364,29.858227381422935,49.14511609522117,49.14511609522116
8860145139fffff,21.045181141495334,0.569616718630985,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32446320614393065,19.3216947437319,19.3216947437319
886014513bfffff,29.049186644628175,4.529736401982877,73,0.7123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,20.518511871448784,29.757742692179985,29.757742692179985
886014513dfffff,56.764742390184416,3.6521986440009164,82,0.8902439024390244,0.926829268292683,0.0,1.0,0.0,0.32926829268292684,0.9878048780487805,13.338554935242133,59.12821830028606,59.12821830028607
