area,type,name,osmid
Gowtham Colony,public_transport=station,Domlur Bus Station,31231545
Grace Town,bus_station,Kalyan Nagar BMTC Depot,687173199
HAL 2nd Stage,public_transport=station,Domlur Bus Station,31231545
HAL Township,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
HMT Colony,bus_station,Vidyaranyapura Bus Terminus,400455142
HMT Watch Factory Colony,bus_station,Basaveshwara Bus Station,326551177
Hanuman Nagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Hebbal,public_transport=station,Hebbal Bus Station,393785885
Hebbal,public_transport=station,Hebbal Bus Station,393785886
Hebbal,public_transport=platform,Hebbala,782061210
Hebbal,public_transport=platform,Hebbala,782061211
Hebbal,public_transport=platform,Hebbala,782061212
Hombegowda Nagara,public_transport=station,Shantinagara Bus Station,1455412266
Hosahalli,public_transport=station,Vijayanagar Bus Stand,137930290
Hosakerehalli Layout,bus_station,Shri Vidhyanagara BMTC Bus station,420181759
Huskur,bus_station,Huskuru Bus Stop,1127316235
IAS Officers Colony,public_transport=station,Kuvempunagara Bus Station,243896056
IDBI Layout,bus_station,Jambu Savari Dinne Bus Bay,455958466
ISRO Colony,public_transport=station,Domlur Bus Station,31231545
ITI Colony,public_transport=station,Chikkamaranahalli,446805877
ITI Colony,bus_station,Chikkamaranahalli,323113360
Ilyas Nagar,bus_station,Kumaraswamy Layout,1270568466
Indira Gandhi Colony,public_transport=station,Koramangala TTMC,122415848
Indira Gandhi Colony,bus_station,Viveknagar Bus Station,326201186
Isaac Layout,bus_station,Bus Station Puttanahalli,4242256789
J.P PARK,bus_station,Choudeshwari Bus Stand,287724333
JC Nagar,bus_station,Nandini Layout,1271969090
JJR Nagara,public_transport=station,Old Gudahalli,4130929491
JK Pura,public_transport=station,Shantinagara Bus Station,1455412266
JP Nagar,public_transport=station,Atal Bihari Vajpayee Bus Stand,162258166
Jagadish Nagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Jai Bheema Nagar,public_transport=station,Kuvempunagara Bus Station,243896056
Jai Bheema Nagar,public_transport=station,Unnamed,1066726710
Jai Maruthi Nagar,bus_station,Nandini Layout,1271969090
Jaladarshini Layout,public_transport=station,Chikkamaranahalli,446805877
Jaladarshini Layout,bus_station,Chikkamaranahalli,323113360
Jalahalli,bus_station,Jalahalli Village,521144263
Jayanagar,public_transport=station,Jayanagar TTMC,752917438
Jeevan Bhimanagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Jothinagar,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Judicial Officer's Layout,public_transport=station,Chikkamaranahalli,446805877
Judicial Officer's Layout,bus_station,Chikkamaranahalli,323113360
K H Ranganath Colony,public_transport=station,Old Gudahalli,4130929491
KHB Colony,bus_station,Sharada Colony Bus Depot,141375009
KSRTC Layout,public_transport=station,Atal Bihari Vajpayee Bus Stand,162258166
Kacharakanahalli,bus_station,Kalyan Nagar BMTC Depot,687173199
Kadugodi,public_transport=station,Kadugodi Bus Station,130127246
Kadugodi,public_transport=station,Kadugodi Bus Station,130127247
