2026-01-03 19:24:50,090 - PathLensMaster - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/logs/pathlens_master_20260103_192450.log
2026-01-03 19:24:50,091 - PathLensMaster - INFO - PathLens Master Orchestrator Starting
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Config: /home/shogun/Documents/PathLens/config.yaml
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Skipping data collection pipeline
2026-01-03 19:24:50,091 - PathLensMaster - INFO - ================================================================================
2026-01-03 19:24:50,091 - PathLensMaster - INFO - PIPELINE: OPTIMIZATION
2026-01-03 19:24:50,091 - PathLensMaster - INFO - ================================================================================
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python -u /home/shogun/Documents/PathLens/optimization-pipeline/run_optimization.py --ga-generations 80 --ga-config /home/shogun/Documents/PathLens/config.yaml
2026-01-03 19:25:18,220 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:18,220 [INFO] Amenity bus_station          | mean distance 4413.21 m | available 4168
2026-01-03 19:25:18,220 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:18,220 [INFO] Amenity park                 | mean distance 1896.62 m | available 4168
2026-01-03 19:25:18,223 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:18,223 [INFO] Starting hybrid GA: population=75, generations=80
2026-01-03 19:25:18,223 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:18,223 [INFO] Running default precompute for 182191 nodes.
2026-01-03 19:25:18,278 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:18,278 [INFO] Precomputing undirected graph for diversity penalty...
2026-01-03 19:25:22,339 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:22,339 [INFO] Using 12 worker threads for candidate evaluation.
2026-01-03 19:25:22,339 - PathLensMaster - INFO - [optimization] 2026-01-03 19:25:22,339 [INFO] Seeded population with 5 greedy templates.
2026-01-03 19:25:22,360 - PathLensMaster - INFO - [optimization] Generations:   0%|          | 0/80 [00:00<?, ?gen/s]2026-01-03 19:25:22,360 [INFO] Evaluating generation 1/80
2026-01-03 19:25:22,766 - PathLensMaster - INFO - [optimization] Gen 1 eval:   0%|          | 0/75 [00:00<?, ?it/s][A
2026-01-03 19:25:22,872 - PathLensMaster - INFO - [optimization] Gen 1 eval:   1%|▏         | 1/75 [00:00<00:29,  2.47it/s][A
2026-01-03 19:25:22,993 - PathLensMaster - INFO - [optimization] Gen 1 eval:   4%|▍         | 3/75 [00:00<00:10,  6.93it/s][A
2026-01-03 19:25:23,113 - PathLensMaster - INFO - [optimization] Gen 1 eval:  11%|█         | 8/75 [00:00<00:03, 17.47it/s][A
2026-01-03 19:25:23,449 - PathLensMaster - INFO - [optimization] Gen 1 eval:  15%|█▍        | 11/75 [00:00<00:03, 19.74it/s][A
2026-01-03 19:25:23,558 - PathLensMaster - INFO - [optimization] Gen 1 eval:  19%|█▊        | 14/75 [00:01<00:04, 13.84it/s][A
